label	runs	cpu_mean	cpu_std	cpu_min	wall_mean	wall_min	peak_mb	findings	digest	load1
pbz2-wazero/cpython	3	331.92	0.34	331.44	28.247	28.014	22121	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	18.51
pbz2-wazero/gitlab-foss	3	1333.24	1.93	1331.35	51.294	50.498	8121	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	42.78
pbz2-cgo/git	3	81.80	0.21	81.56	4.117	4.075	2294	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	13.30
pbz2-cgo/cpython	3	326.74	1.25	325.41	27.349	27.199	22320	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	16.21
pbz2-cgo/gitlab-foss	3	1289.02	0.32	1288.57	50.688	49.718	7947	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	49.49
pbz2b-wazero/git	3	83.97	0.12	83.80	4.226	4.183	2206	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	13.47
pbz2b-wazero/cpython	3	326.73	0.18	326.47	25.599	25.538	6779	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	17.01
pbz2b-wazero/gitlab-foss	3	1333.82	1.40	1332.54	51.782	51.452	8148	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.20
pbz2b-cgo/git	3	82.36	0.19	82.12	4.128	4.077	2253	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	17.18
pbz2b-cgo/cpython	3	320.62	0.33	320.39	25.620	25.508	6558	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	19.90
pbz2b-cgo/gitlab-foss	3	1291.58	1.04	1290.36	49.722	49.681	7887	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	47.43
